id,content,score,content_length,cleaned_content,keywords_str
10,中框真空镀3D镭雕，后盖复合材料丝印工艺，属实感十足，6.20英寸2246*1080分辨率的齐刘海全面屏加上超窄比边框。特别是彩屏幕看视频，色彩、分辨率非常不错，超级享受。在录像和拍照中1300W+500W像素，用起来非常给力，性价比不错，6GB内存加上128GB的存储，主频2.0Ghz，非常给力，还能微信多开，同时采用OS简洁、轻便，在玩游戏过程中都可以完全体验到手机系统的流畅度，在加上6.20英寸超大屏幕和1080P，看视频，玩游戏都非常的爽。在充电上，也是配有快速充电，可以快速的充电并在3000MAH大电池的支持下，可以非常快的上手，在玩游戏的过程中，也没觉得烫手，是一个值得入手的性价比和颜值都高的手机。,5,309,中框真空镀镭雕后盖复合材料丝印工艺属实感十足英寸分辨率的齐刘海全面屏加上超窄比边框特别是彩屏幕看视频色彩分辨率非常不错超级享受在录像和拍照中像素用起来非常给力性价比不错内存加上的存储主频非常给力还能微信多开同时采用简洁轻便在玩游戏过程中都可以完全体验到手机系统的流畅度在加上英寸超大屏幕和看视频玩游戏都非常的爽在充电上也是配有快速充电可以快速的充电并在大电池的支持下可以非常快的上手在玩游戏的过程中也没觉得烫手是一个值得入手的性价比和颜值都高的手机,加上 非常 玩游戏 快速 过程 充电 英寸 给力 分辨率 视频 属实 性价比 简洁 享受 屏幕
11,手机很好用，京东快递就是快，手机一段时间了。,5,22,手机很好用京东快递就是快手机一段时间了,一段时间 快递 手机 京东
12,1 京东确实牛 手机下单后不到24小时就送到手。2  这款手机确实好，屏幕大，手感好，操作方便，系统优化得也很好。3 手机配置没有很高专业要求来说足够了。 4 为支持国货，支持华为，之前就买了华为M5的平板电脑换掉了苹果的IPAD。现在有又将苹果手机换为了华为的手机。这次购物超愉快。,5,142,京东确实牛 手机下单后不到小时就送到手 这款手机确实好屏幕大手感好操作方便系统优化得也很好 手机配置没有很高专业要求来说足够了 为支持国货支持华为之前就买了华为的平板电脑换掉了苹果的现在有又将苹果手机换为了华为的手机这次购物超愉快,确实 手机 华为 苹果 支持 电脑 系统优化 专业 愉快 国货 要求 足够 送到 操作 小时
13,收到货，声音很大，功能也多，适合老人用，就是重量有点重，,5,28,收到货声音很大功能也多适合老人用就是重量有点重,适合 很大 老人 声音 功能 收到
14,纠结了很久还是买了8p，对比很多方面，拍照超级好看，很信任京东，物流很快虽然是别的地方但依旧快，东西绝对是正品，嘻嘻嘻，非常喜欢。,5,65,纠结了很久还是买了对比很多方面拍照超级好看很信任京东物流很快虽然是别的地方但依旧快东西绝对是正品嘻嘻嘻非常喜欢,依旧 信任 纠结 地方 绝对 对比 超级 方面 正品 很多 东西 好看 物流 拍照 很快
15,购买前经过选购，对比，最终买了这个机器机型，收货很快，收到初步检查也没问题，速度肯定快，因为之前用的老手机慢要下岗由这个替代，另外这个配置970的u目前也是顶级高端了，所以肯定快！手感由于之前手机小，现在手机屏幕都大了，这个虽然相对小，但是还是比老手机5s大的多，拿起来，把持起来很累手，但是现在手机屏幕都大了也没办法，如果能小点自然更好！ 购买后用了几天，没发现机器有什么故障和问题，问题不大，用网上说的手机跑分工具测试不到19万多分，大概是21号购买的第6天，推送了那个tpu什么的加持手机体验速度的所谓黑科技，更新后又跑分上了20万如图！由于手机平时用的不多，主要接打电话，目前也没体验看视频，没体验任何游戏，没安装！ 只说下语音通话都ok，没发现问题，微信qq都正常使用，唯一遗憾的是微信和qq不支持指纹支付，这个前期我也不知道，后来使用发现，百度查询得知确认华为不支持，这是最不好的地方，本人主要用微信qq支付频繁些，只能老手机继续了，希望后续支持吧，也希望这个手机能战几年！,5,443,购买前经过选购对比最终买了这个机器机型收货很快收到初步检查也没问题速度肯定快因为之前用的老手机慢要下岗由这个替代另外这个配置的目前也是顶级高端了所以肯定快手感由于之前手机小现在手机屏幕都大了这个虽然相对小但是还是比老手机大的多拿起来把持起来很累手但是现在手机屏幕都大了也没办法如果能小点自然更好 购买后用了几天没发现机器有什么故障和问题问题不大用网上说的手机跑分工具测试不到万多分大概是号购买的第天推送了那个什么的加持手机体验速度的所谓黑科技更新后又跑分上了万如图由于手机平时用的不多主要接打电话目前也没体验看视频没体验任何游戏没安装 只说下语音通话都没发现问题微信都正常使用唯一遗憾的是微信和不支持指纹支付这个前期我也不知道后来使用发现百度查询得知确认华为不支持这是最不好的地方本人主要用微信支付频繁些只能老手机继续了希望后续支持吧也希望这个手机能战几年,手机 微信 问题 发现 体验 支付 肯定 购买 支持 主要 机器 之前 起来 希望 使用
16,手机很快就收到了，实物与商品介绍一样，手感和外观上看着还不错。因为一直用的都是华为手机，打开看内容，还是那么熟悉，一如既往的好！买手机时的选择性太多，好不容易选择购买了这款，希望长久的使用质量寿命令人满意就好！,5,105,手机很快就收到了实物与商品介绍一样手感和外观上看着还不错因为一直用的都是华为手机打开看内容还是那么熟悉一如既往的好买手机时的选择性太多好不容易选择购买了这款希望长久的使用质量寿命令人满意就好,介绍 熟悉 实物 商品 一如既往 买手机 这款 看着 选择 打开 华为 内容 购买 质量 希望
17,27号下的单，今天收到1星期内，坐标河南商丘，手机是武汉仓过来的。充电头是5V2A的 不支持快充。已经另外购买。,5,56,号下的单今天收到星期内坐标河南商丘手机是武汉仓过来的充电头是的 不支持快充已经另外购买,过来 星期 快充 充电 购买 支持 收到 手机
18,"今天刚收到！
看到京东的快递包装盒，我内心是一群奔腾而过的！几千块钱的物品包装，没有防压提示，包装盒直接被压塌一个角，幸好小米自带包装耐压，手机没事！
京东快递有必要注意点，虽然你们或许不会在意顾客说什么的...
手机挺好，手感比肩水果7！关于全面屏，我想小米这样已经很厚道了，没有啥挑剔的！如果把下巴移到上面就更好了！
使用感受，等用几天再评价吧！
除开京东的包装，值得购买！",5,189,今天刚收到 看到京东的快递包装盒我内心是一群奔腾而过的几千块钱的物品包装没有防压提示包装盒直接被压塌一个角幸好小米自带包装耐压手机没事 京东快递有必要注意点虽然你们或许不会在意顾客说什么的 手机挺好手感比肩水果关于全面屏我想小米这样已经很厚道了没有啥挑剔的如果把下巴移到上面就更好了 使用感受等用几天再评价吧 除开京东的包装值得购买,包装盒 包装 京东 快递 必要 几千块 注意 好手 提示 物品 上面 下巴 没有 感受 更好
19,在浏览页面时，我没有立即购买，关注了这个手机有一段时间，这次直接下单了，首先客服服务真心不错，第一惊喜，物流很快，手机反应非常快，款式飘来昂，分辨率超高，手机拍出的照片和数码相机差不多，一开始我担心非常耗电，系统优化很好，界面简洁，造工，外形，上手度，屏幕，性能，系统优化，都可圈可点，运行速度快，屏幕大，质感、内容价值，手机可以称的上物有所值。总之是一次不错的网购经历。我知道无论用多么华丽的语言来措辞形容手机的优势都是不够的，都是虚伪的，所以我只想说一句：透过体验的效果分享给大家！体验效果整体而言：设计新颖、运行流畅、显示效果极佳、赠送的礼品多，手机款式时尚，整体算下来，比较划算！,5,294,在浏览页面时我没有立即购买关注了这个手机有一段时间这次直接下单了首先客服服务真心不错第一惊喜物流很快手机反应非常快款式飘来昂分辨率超高手机拍出的照片和数码相机差不多一开始我担心非常耗电系统优化很好界面简洁造工外形上手度屏幕性能系统优化都可圈可点运行速度快屏幕大质感内容价值手机可以称的上物有所值总之是一次不错的网购经历我知道无论用多么华丽的语言来措辞形容手机的优势都是不够的都是虚伪的所以我只想说一句透过体验的效果分享给大家体验效果整体而言设计新颖运行流畅显示效果极佳赠送的礼品多手机款式时尚整体算下来比较划算,系统优化 效果 款式 手机 体验 运行 拍出 简洁 屏幕 礼品 极佳 界面 一句 非常 物有所值
20,宝贝收到了，给老妈买的，老妈爱不释手，很喜欢，大爱,5,25,宝贝收到了给老妈买的老妈爱不释手很喜欢大爱,老妈 爱不释手 大爱 宝贝 收到 喜欢
21,刚到手 大小手感 都非常不错,5,14,刚到手 大小手感 都非常不错,大小 到手 手感 非常 不错
22,用着目前还可以，就是不知道可以用多久。希望久一些吧。,5,26,用着目前还可以就是不知道可以用多久希望久一些吧,知道 希望
23,物流速度很快，一大早就收到了，试用了一下午，说说感觉吧，我是把我的5S换了，5用了3年了，手机很流畅就是电池待机不行，一天充好几回。关注8很久了，由于价格太高一直没下手，刚好前几天华为美十也上了，去看过，确实不错，有想入手的冲动，可是这两天关注8的时候看到京东优惠蛮大的，就果断入手了。屏幕确实大，像我这样的大手单手操作都感觉有些难，机子很流畅，用惯了苹果所以感觉很不错，就是希望待机能好一点。不过今天我设置的时候有几次卡顿，直接卡退出了，不知道是怎么回事。等用段时间再来评论用后效果。,5,243,物流速度很快一大早就收到了试用了一下午说说感觉吧我是把我的换了用了年了手机很流畅就是电池待机不行一天充好几回关注很久了由于价格太高一直没下手刚好前几天华为美十也上了去看过确实不错有想入手的冲动可是这两天关注的时候看到京东优惠蛮大的就果断入手了屏幕确实大像我这样的大手单手操作都感觉有些难机子很流畅用惯了苹果所以感觉很不错就是希望待机能好一点不过今天我设置的时候有几次卡顿直接卡退出了不知道是怎么回事等用段时间再来评论用后效果,关注 感觉 确实 入手 怎么回事 看过 流畅 几次 单手操作 太高 刚好 下手 段时间 优惠 设置
24,上午下单，7个小时就到了，等的很激动，拿到手机也十分惊喜，哈哈，就是没有广告上的后壳艳，吃鸡实测了一把，画质和帧数都开最高，一点也不卡，指纹识别也非常快，HiFi听歌超棒，华为自带音乐版权也挺多，充电刚开始特别慢，取了玩一会又充就快了。到货之前，一直看贴吧说屏幕有问题，幸好没发现进灰和黄屏。总的来说，优点:HiFi，闪充，极光变色后壳，AI摄影（拍照功能太多，还没试），前置指纹，芯片。不足:1.息屏整体效果不是很好 2.手机尺寸相对较小，吃鸡不是很爽哈哈，男生平时应该可以单手操作 3.EMUI确实在不断优化，但还需加油 4.自带软件真的太多了。。选了好久。总得来说，超高性价比配上高人气代言人，这款手机一定会越来越火,5,311,上午下单个小时就到了等的很激动拿到手机也十分惊喜哈哈就是没有广告上的后壳艳吃鸡实测了一把画质和帧数都开最高一点也不卡指纹识别也非常快听歌超棒华为自带音乐版权也挺多充电刚开始特别慢取了玩一会又充就快了到货之前一直看贴吧说屏幕有问题幸好没发现进灰和黄屏总的来说优点闪充极光变色后壳摄影拍照功能太多还没试前置指纹芯片不足息屏整体效果不是很好 手机尺寸相对较小吃鸡不是很爽哈哈男生平时应该可以单手操作 确实在不断优化但还需加油 自带软件真的太多了选了好久总得来说超高性价比配上高人气代言人这款手机一定会越来越火,太多 自带 不是 激动 不断 高性价比 很爽 一会 没试 变色 一把 相对 听歌 广告 单手操作
25,手机还不错，大气上档次，反应灵敏，手感很好！一直信赖华为产品！华为4x用了两部，华为荣耀6一部，华为荣耀6plus一部，一家人都在用华为，忠实粉丝！,5,74,手机还不错大气上档次反应灵敏手感很好一直信赖华为产品华为用了两部华为荣耀一部华为荣耀一部一家人都在用华为忠实粉丝,一部 荣耀 两部 忠实 上档次 用华为 大气 灵敏 产品 信赖 华为 反应 手感 不错 手机
26,很不错，京东促销厉害4777.还是两百多京豆很划算，玻璃很有质感，想当初买个16G的iphone4S都比这个8还贵，苹果系统好，相对也安全，插了手机码在官网，没有问题。推荐购买。,5,89,很不错京东促销厉害还是两百多京豆很划算玻璃很有质感想当初买个的都比这个还贵苹果系统好相对也安全插了手机码在官网没有问题推荐购买,安全 相对 官网 厉害 买个 划算 质感 推荐 玻璃 苹果 购买 系统 问题 没有 京东
27,经常用小米的手机，红米小米各类品牌买了好多个。红米6，这款手机配置好，运行很流畅，比我的小米note差不多。性价比很高，送给老爸的，老爸用着很满意。同时屏幕不是很大，握在手中，很合适。玩游戏很流畅，听音乐音质也可以。同时拍照很好，前置摄像头像素偏低，但后置的像素很好，拍摄很清楚。,5,140,经常用小米的手机红米小米各类品牌买了好多个红米这款手机配置好运行很流畅比我的小米差不多性价比很高送给老爸的老爸用着很满意同时屏幕不是很大握在手中很合适玩游戏很流畅听音乐音质也可以同时拍照很好前置摄像头像素偏低但后置的像素很好拍摄很清楚,红米 老爸 像素 流畅 用小米 经常 清楚 拍摄 音乐 送给 差不多 后置 前置 合适 音质
28,外观很漂亮 很小巧 值得一说的是指纹解锁真的快到没朋友 这手机帮我老板娘买的 她很喜欢 分辨率很清,5,49,外观很漂亮 很小巧 值得一说的是指纹解锁真的快到没朋友 这手机帮我老板娘买的 她很喜欢 分辨率很清,小巧 分辨率 朋友 解锁 很漂亮 指纹 值得 真的 外观 喜欢 手机
29,正品，第一次在京东买手机，速度，手感都很好，值得入手，买给父母的好首选,5,35,正品第一次在京东买手机速度手感都很好值得入手买给父母的好首选,买手机 入手 第一次 正品 值得 手感 速度 京东
30,相机照相太大了其他都还好,5,12,相机照相太大了其他都还好,太大 相机 照相 还好
31,外观完美，手感超赞，新的全面屏手势操作体验也很棒，非常满意的一次购物。,5,35,外观完美手感超赞新的全面屏手势操作体验也很棒非常满意的一次购物,手势 很棒 操作 完美 购物 全面屏 体验 满意 手感 外观 非常
32,第一批抢到，两天后才收到，机器没一代惊艳，边框略粗，全面屏？解决了通话，回归正常手机行列！！手感没得说，非常好！系统成熟，耗电正常水平，亮屏6小时左右，拍照中规中矩！唯一吐槽的，就是屏幕，我这台发黄，还是比较历害，而且底部更黄，比手上max 2还黄，看图，7p拍的；jdi 的通病？？？3000多的机器，用这样的屏幕，感觉不配！！！,5,166,第一批抢到两天后才收到机器没一代惊艳边框略粗全面屏解决了通话回归正常手机行列手感没得说非常好系统成熟耗电正常水平亮屏小时左右拍照中规中矩唯一吐槽的就是屏幕我这台发黄还是比较历害而且底部更黄比手上 还黄看图拍的 的通病多的机器用这样的屏幕感觉不配,正常 机器 一代 成熟 这台 屏幕 吐槽 手上 中规中矩 解决 通话 耗电 没得说 边框 左右
33,"价格方面：这次小辣椒主打的千元青年旗舰机，这个配置估计这会是最便宜的双摄手机！仅售1899元！
外观方面：该机采用中框真空镀3D镭雕，后盖复合材料丝印工艺，属实的握持手感和顺畅的8核处理器，外观造型类似小辣椒5X和iPhone7 Plus的结合体，主打性价比手机，目前有黑色，蓝色，黑色等多种颜色可选。                
配置方面：红辣椒R15搭载联发科处理器，6G运存+128G内存，后置1600W+500W像素双摄像头，前置1600W像素美颜自拍镜头，还带柔光自拍。6.20寸的FHD,（2246*1080）屏幕，3000毫安电池，5V/2A快充，网络制式支持全网通。",5,293,价格方面这次小辣椒主打的千元青年旗舰机这个配置估计这会是最便宜的双摄手机仅售元 外观方面该机采用中框真空镀镭雕后盖复合材料丝印工艺属实的握持手感和顺畅的核处理器外观造型类似小辣椒和 的结合体主打性价比手机目前有黑色蓝色黑色等多种颜色可选 配置方面红辣椒搭载联发科处理器运存内存后置像素双摄像头前置像素美颜自拍镜头还带柔光自拍寸的屏幕毫安电池快充网络制式支持全网通,方面 小辣椒 黑色 处理器 配置 像素 属实 外观 红辣椒 复合材料 真空 丝印 雕后 美颜 搭载
34,VIVO y83 手机不错，好用，好喜欢这刘海屏，看着新鲜！京东的送货员送货准时又快捷！服务真的很好！第二天一定准能到，直送上门！觉得京东商场比外面商城有保障，讲信誉，质量也有保证！值得拥有，以后所有物品都上京东商城购买！非常的满意！下次还会再来的！,5,125,手机不错好用好喜欢这刘海屏看着新鲜京东的送货员送货准时又快捷服务真的很好第二天一定准能到直送上门觉得京东商场比外面商城有保障讲信誉质量也有保证值得拥有以后所有物品都上京东商城购买非常的满意下次还会再来的,商城 京东 快捷 准时 保证 外面 保障 物品 所有 拥有 一定 还会 刘海屏 下次 看着
35,"总体来说，颜值非常高，很好看，虽然说是后置指纹，但是后背看起来还是挺不错的。用起来整体体验还是不错，比较流畅，毕竟新手机，而且麒麟970处理器还是比较可以的。
然后说一下缺点吧。①用的时候容易发烫，这个其实感觉很不好，对不起这个价格，而且华为手机不应该这样，平时使用就仅仅是在中度正常使用后背就会发烫，还没有重度使用。这一点比较不满意，很影响使用感觉。②手机有时候出现触摸不灵敏的情况，不知道是没有触摸起还是怎么回事，有时候后退键要点2次以上才可以实现，虽然不是一直这样，但是新手机就出现这样的问题，真的很不应该！！！我也不清楚为什么会这样。③打电话会出现不稳定，有时候突然一阵听不见对方的声音，隔几秒钟又好了，打电话的地方都是信号不错的，所以这个手机的问题也是让我很不舒服的。④另外，荣耀手环3竟然不能实现拒接来电，用了三个不同的荣耀手环3都不能拒接，不知道是不是新手机还没完善好，真的希望尽快完善，真的太影响使用了！！
希望这些问题尽早吧。总体来说这个手机使用起来还是将就吧，个人心里话，感觉整体实力不如荣耀v10。希望打脸，哈哈。还是相信华为的，再用用再看体验吧！",4,485,总体来说颜值非常高很好看虽然说是后置指纹但是后背看起来还是挺不错的用起来整体体验还是不错比较流畅毕竟新手机而且麒麟处理器还是比较可以的 然后说一下缺点吧用的时候容易发烫这个其实感觉很不好对不起这个价格而且华为手机不应该这样平时使用就仅仅是在中度正常使用后背就会发烫还没有重度使用这一点比较不满意很影响使用感觉手机有时候出现触摸不灵敏的情况不知道是没有触摸起还是怎么回事有时候后退键要点次以上才可以实现虽然不是一直这样但是新手机就出现这样的问题真的很不应该我也不清楚为什么会这样打电话会出现不稳定有时候突然一阵听不见对方的声音隔几秒钟又好了打电话的地方都是信号不错的所以这个手机的问题也是让我很不舒服的另外荣耀手环竟然不能实现拒接来电用了三个不同的荣耀手环都不能拒接不知道是不是新手机还没完善好真的希望尽快完善真的太影响使用了 希望这些问题尽早吧总体来说这个手机使用起来还是将就吧个人心里话感觉整体实力不如荣耀希望打脸哈哈还是相信华为的再用用再看体验吧,使用 有时候 新手机 出现 完善 荣耀 实现 触摸 希望 比较 发烫 真的 影响 问题 打电话
36,速度超赞的 京东自营果然杠杠滴 手机一到就打开试了一下 果然很好,5,32,速度超赞的 京东自营果然杠杠滴 手机一到就打开试了一下 果然很好,杠杠 自营 打开 一下 速度 京东 手机
37,上个白条刚还完，再来一个接着还。在京东买了5个手机了，到现在没有一个坏的，支持。无线充电不错，很方便，要配大功率充电器才带劲。,5,63,上个白条刚还完再来一个接着还在京东买了个手机了到现在没有一个坏的支持无线充电不错很方便要配大功率充电器才带劲,白条 无线充电 充电器 方便 支持 没有 京东 不错 手机
38,"物流极快，下午就到手了，刚刚拆开看看，外观如图，并没有官方所说的那么惊艳，没有我坚果pro2漂亮，坚果被我爸爸征用了，所以恰好买了这个，不建议如同我这样的奔三大叔，在选择荣耀10时，选择买这样如同手机杀马特的所谓幻影颜色了，可以考虑买灰或者经典的黑，低调简约点比较好。
摄像头凸起，略可惜，大概是追求薄与高标准的摄像头的妥协设计。
前置摄像头处如图六，不喜欢这样的听筒的设计可以看看，看仔细。
后面玻璃容易留指纹，估计是我刚刚在外面和小伙伴吃猪肘子后没洗手的缘故吧！
还没玩，因为喝酒有点多，睡觉了，以后有时间再写，估计不会再写了，我太懒。反正就先用着吧！困了，对了，拍照是用的魅族手机，额(⊙o⊙)&hellip;我为什么要说这个，MX15不买了，晚安",5,327,物流极快下午就到手了刚刚拆开看看外观如图并没有官方所说的那么惊艳没有我坚果漂亮坚果被我爸爸征用了所以恰好买了这个不建议如同我这样的奔三大叔在选择荣耀时选择买这样如同手机杀马特的所谓幻影颜色了可以考虑买灰或者经典的黑低调简约点比较好 摄像头凸起略可惜大概是追求薄与高标准的摄像头的妥协设计 前置摄像头处如图六不喜欢这样的听筒的设计可以看看看仔细 后面玻璃容易留指纹估计是我刚刚在外面和小伙伴吃猪肘子后没洗手的缘故吧 还没玩因为喝酒有点多睡觉了以后有时间再写估计不会再写了我太懒反正就先用着吧困了对了拍照是用的魅族手机额我为什么要说这个不买了晚安,摄像头 估计 刚刚 看看 设计 选择 经典 睡觉 幻影 外面 所谓 仔细 先用 拆开 官方
39,一分钱一分货，跟我mate9还是有点差距的。电话外放声音有点破。屏幕有时候有些点的失灵，灵敏度还需要进一步加强。升级到b192人脸解锁，这一点我挺喜欢的。在小米5X和华为7X之间纠结了好久，还是觉得华为系统跟我现有的用的比较习惯。全面屏看起来视野宽屏比还是比较好手机盒里面送了一个保护套，要是有保护贴膜就更好了。*元左右的全面屏，性价比还是可以的，当做备用机还不错。,4,183,一分钱一分货跟我还是有点差距的电话外放声音有点破屏幕有时候有些点的失灵灵敏度还需要进一步加强升级到人脸解锁这一点我挺喜欢的在小米和华为之间纠结了好久还是觉得华为系统跟我现有的用的比较习惯全面屏看起来视野宽屏比还是比较好手机盒里面送了一个保护套要是有保护贴膜就更好了元左右的全面屏性价比还是可以的当做备用机还不错,全面屏 比较 之间 一分钱 保护套 外放 一分货 升级 备用机 纠结 有时候 人脸 好久 保护 电话
40,手机不错，京东上买第二部苹果手机了，拿售后去看了凭发票保一年，相信这部质量比去年买的6s好，去年买的6s用了一年屏幕上出现小白点，不注意看不到。苹果8处理器给力速度快，指纹解锁比6s快多了，系统反应也快些，手机比6s厚点重点，就是iOS11.1系统耗电太快了一天得充两次，更新到最新版本后稍微好点，iOS11.1耗电太厉害希望新版本续航得到解决。,4,173,手机不错京东上买第二部苹果手机了拿售后去看了凭发票保一年相信这部质量比去年买的好去年买的用了一年屏幕上出现小白点不注意看不到苹果处理器给力速度快指纹解锁比快多了系统反应也快些手机比厚点重点就是系统耗电太快了一天得充两次更新到最新版本后稍微好点耗电太厉害希望新版本续航得到解决,去年 版本 一年 耗电 苹果 系统 注意 最新 这部 第二部 好点 发票 得到 太快 解决
41,看着还不错,5,5,看着还不错,看着 不错
42,昨晚买的，今天上午就到了，速度一流。打开之后，惊喜大大的，比想想中的手感还要好，流畅，顺滑，不输水果，希望华为可以越做越好,5,61,昨晚买的今天上午就到了速度一流打开之后惊喜大大的比想想中的手感还要好流畅顺滑不输水果希望华为可以越做越好,顺滑 想想 越做越 一流 惊喜 还要 打开 希望 手感 流畅 速度
43,很好的手机，么么么哒，最新款的红米手机,5,19,很好的手机么么么哒最新款的红米手机,红米 手机
44,手机还可以，就刚开始把卡放进去的时候不显示卡，过了第二天才显示出来，耳机也没有，还有就是怎么不是一体机呢？但是价格便宜，还是可以了，,5,66,手机还可以就刚开始把卡放进去的时候不显示卡过了第二天才显示出来耳机也没有还有就是怎么不是一体机呢但是价格便宜还是可以了,价格便宜 出来 显示 耳机 第二天 不是 没有 手机
45,4.27抢的5.5号发货第二天到的，手机还不错就是充电的时候充电器好烫,5,35,抢的号发货第二天到的手机还不错就是充电的时候充电器好烫,充电器 第二天 发货 充电 不错 手机
46,"首先包装精致上档次，社会雷的签名很显眼，双十一下单送了小夜灯贴膜后壳，盒子里面的手机壳手感更好点，裸机手感也非常棒，只不过小米的品控确实有点问题，第一台手机后盖安装不到位有缝隙，音量键有点松，换了一台之后完美解决所有问题，到现在为止没找到问题，屏幕也没有网友说的那种阴阳屏，系统还是MIUI8，非常好用，准备升9

使用一周总结：手感很好，系统流畅，品控好的做工很好，品控不好的赶紧换新机，米粉的最爱，值得入手，现货很爽，社会雷哥",5,215,首先包装精致上档次社会雷的签名很显眼双十一下单送了小夜灯贴膜后壳盒子里面的手机壳手感更好点裸机手感也非常棒只不过小米的品控确实有点问题第一台手机后盖安装不到位有缝隙音量键有点松换了一台之后完美解决所有问题到现在为止没找到问题屏幕也没有网友说的那种阴阳屏系统还是非常好用准备升 使用一周总结手感很好系统流畅品控好的做工很好品控不好的赶紧换新机米粉的最爱值得入手现货很爽社会雷哥,品控 问题 手感 系统 现货 找到 网友 只不过 很爽 第一台 到位 那种 缝隙 赶紧 所有
